source_table,campaign_id,campaign_name,country,campaign_status
"display_matched_target","322846691294433","SD VID Cutting Mat Purchase Remarket","FR",""
"display_matched_target","396398845856472","SD VID Cutting Mat Product Target","FR",""
"display_matched_target","483259478018692","SD VID 380 Stretched Canvas View Remarket CAT ALL","GB",""
"display_matched_target","300375175837597","SD VID Cutting Mat View Remarket","GB",""
"display_matched_target","516674008659731","SD VID 280 Stretched Canvas Purchase Remarket","IT",""
"display_matched_target","354530148253911","SD VID Cutting Mat View Remarket CAT ALL","IT",""
"display_matched_target","433164218141351","SD VID 280 Stretched Canvas View Remarket CAT ALL","GB",""
"display_matched_target","409452301241205","SD VID Cutting Mat Product Target","US",""
"display_matched_target","496116138600124","SD VID Cutting Mat Purchase Remarket","US",""
"display_matched_target","516395912423463","SD VID Cutting Mat View Remarket CAT ALL","JP",""
"display_matched_target","519055541407350","SD VID Cutting Mat Product Target","IT",""
"display_matched_target","306257002945072","SD VID Cutting Mat Defensive to Mat","ES",""
"display_matched_target","454066735758332","SD VID Cutting Mat View Remarket CAT ALL","FR",""
"display_matched_target","328051365279880","SD VID Cutting Mat Purchase Remarket","IT",""
"display_matched_target","311939576943966","SD VID Cutting Mat Contextual CAT ALL","ES",""
"display_matched_target","416476171371203","SD VID Cutting Mat Contextual CAT ALL","IT",""
"display_matched_target","371673837571355","SD VID Cutting Mat View Remarket","IT",""
"display_matched_target","393130485586284","SD VID Cutting Mat View Remarket","FR",""
"display_matched_target","332715746443003","SD VID Cutting Mat View Remarket CAT ALL","ES",""
"display_matched_target","455635661794639","SD VID Paint Brush View Remarket CAT ALL","GB",""
"display_matched_target","421886391701261","SD VID Cutting Mat View Remarket CAT ALL","DE",""
"display_matched_target","561278214039762","SD VID Cutting Mat View Remarket CAT ALL","US",""
"display_matched_target","414936181855729","SD VID Cutting Mat View Remarket","DE",""
"display_targeting","324813886541194","SD VID 280 Stretched Canvas Product Target","IT",""
"display_targeting","351225315421557","SD VID 280 Stretched Canvas Purchase Remarket","ES",""
"display_targeting","455635661794639","SD VID Paint Brush View Remarket CAT ALL","GB",""
"display_targeting","354530148253911","SD VID Cutting Mat View Remarket CAT ALL","IT",""
"display_targeting","328051365279880","SD VID Cutting Mat Purchase Remarket","IT",""
"display_targeting","542512121048537","SD VID 380 Stretched Canvas Defensive to 280 Stretched Canvas","GB",""
"display_targeting","465293918264192","SD VID 280 Stretched Canvas Purchase Remarket","FR",""
"display_targeting","440807967622478","SD VID Cutting Mat Contextual CAT ALL","JP",""
"display_targeting","561595241292651","SD VID Cutting Mat Contextual CAT ALL","",""
"display_targeting","499692314199753","SD VID Cutting Mat Defensive to Mat","DE",""
"display_targeting","326184525677899","SD VID Paint Brush Purchase Remarket","GB",""
"display_targeting","352389527227490","SD VID Cutting Mat Defensive to Mat","US",""
"display_targeting","445171418511920","SD VID 280 Stretched Canvas Contextual CAT ALL","US",""
"display_targeting","499836555497363","SD VID Cutting Mat Defensive to Mat","IT",""
"display_targeting","386200925505811","SD VID 280 Stretched Canvas View Remarket","IT",""
"display_targeting","322846691294433","SD VID Cutting Mat Purchase Remarket","FR",""
"display_targeting","483259478018692","SD VID 380 Stretched Canvas View Remarket CAT ALL","",""
"display_targeting","311939576943966","SD VID Cutting Mat Contextual CAT ALL","ES",""
"display_targeting","326824228720629","SD VID 280 Stretched Canvas Product Target","GB",""
"display_targeting","332715746443003","SD VID Cutting Mat View Remarket CAT ALL","ES",""
"display_targeting","339735303996629","SD VID 280 Stretched Canvas Purchase Remarket","US",""
"display_targeting","454066735758332","SD VID Cutting Mat View Remarket CAT ALL","FR",""
"display_targeting","410410219219123","SD VID 280 Stretched Canvas View Remarket","US",""
"display_targeting","465028809447845","SD VID 280 Stretched Canvas Defensive to 380 Stretched Canvas","ES",""
"display_targeting","421886391701261","SD VID Cutting Mat View Remarket CAT ALL","",""
"display_targeting","313693613849637","SD VID 380 Stretched Canvas Purchase Remarket","GB",""
"display_targeting","451040740605828","SD VID Cutting Mat Defensive to Ruler","US",""
"display_targeting","421886391701261","SD VID Cutting Mat View Remarket CAT ALL","DE",""
"display_targeting","455635661794639","SD VID Paint Brush View Remarket CAT ALL","",""
"display_targeting","391159815378599","SD VID 280 Stretched Canvas Product Target","DE",""
"display_targeting","525440008507826","SD VID 280 Stretched Canvas Product Target","ES",""
"display_targeting","450728237079471","SD VID Cutting Mat Purchase Remarket","ES",""
"display_targeting","554274702802606","SD VID Cutting Mat Product Target","DE",""
"display_targeting","396398845856472","SD VID Cutting Mat Product Target","FR",""
"display_targeting","483259478018692","SD VID 380 Stretched Canvas View Remarket CAT ALL","GB",""
"display_targeting","512627486026672","SD VID Paint Brush View Remarket","GB",""
"display_targeting","432420503757432","SD VID 380 Stretched Canvas View Remarket","",""
"display_targeting","371673837571355","SD VID Cutting Mat View Remarket","IT",""
"display_targeting","358341392174593","SD VID Paint Brush Product Target","GB",""
"display_targeting","494032419927260","SD VID 380 Stretched Canvas Contextual CAT ALL","",""
"display_targeting","516674008659731","SD VID 280 Stretched Canvas Purchase Remarket","IT",""
"display_targeting","316781853720610","SD VID Cutting Mat View Remarket CAT ALL","",""
"display_targeting","534215031730273","SD VID Cutting Mat Defensive to Ruler","DE",""
"display_targeting","430299694942936","SD VID Cutting Mat Defensive to Cutter","IT",""
"display_targeting","433164218141351","SD VID 280 Stretched Canvas View Remarket CAT ALL","GB",""
"display_targeting","486337886697972","SD VID Cutting Mat Defensive to Ruler","FR",""
"display_targeting","561278214039762","SD VID Cutting Mat View Remarket CAT ALL","US",""
"display_targeting","550408182513933","SD VID 280 Stretched Canvas Contextual CAT ALL","FR",""
"display_targeting","409452301241205","SD VID Cutting Mat Product Target","US",""
"display_targeting","428118911648985","SD VID 280 Stretched Canvas Contextual CAT ALL","GB",""
"display_targeting","294780799706320","SD VID Cutting Mat Defensive to Ruler","GB",""
"display_targeting","315993829639945","SD VID Cutting Mat Defensive to Ruler","ES",""
"display_targeting","299592437256282","SD VID 280 Stretched Canvas View Remarket CAT ALL","US",""
"display_targeting","476026046626854","SD VID 280 Stretched Canvas Contextual CAT ALL","IT",""
"display_targeting","559060283193700","SD VID Cutting Mat Contextual CAT ALL","US",""
"display_targeting","424549945353571","SD VID Cutting Mat Product Target","ES",""
"display_targeting","331825310033456","SD VID Cutting Mat Purchase Remarket","GB",""
"display_targeting","375471210792797","SD VID Cutting Mat Defensive to Ruler","IT",""
"display_targeting","375352818180963","SD VID Cutting Mat View Remarket","ES",""
"display_targeting","561595241292651","SD VID Cutting Mat Contextual CAT ALL","GB",""
"display_targeting","398210557052085","SD VID 280 Stretched Canvas Defensive to 380 Stretched Canvas","GB",""
"display_targeting","519055541407350","SD VID Cutting Mat Product Target","IT",""
"display_targeting","495156841301886","SD VID Cutting Mat Defensive to Ruler","JP",""
"display_targeting","403771453084711","SD VID 280 Stretched Canvas View Remarket","ES",""
"display_targeting","401257926968479","SD VID Paint Brush Contextual CAT ALL","",""
"display_targeting","395242044304451","SD VID Cutting Mat Contextual CAT ALL","DE",""
"display_targeting","506543926690472","SD VID 280 Stretched Canvas View Remarket CAT ALL","ES",""
"display_targeting","519722821760045","SD VID Cutting Mat Defensive to Cutter","FR",""
"display_targeting","307645981080347","SD VID 280 Stretched Canvas View Remarket CAT ALL","FR",""
"display_targeting","429181673953126","SD VID Cutting Mat Contextual CAT ALL","FR",""
"display_targeting","432420503757432","SD VID 380 Stretched Canvas View Remarket","GB",""
"display_targeting","352594041077113","SD VID Cutting Mat View Remarket","JP",""
"display_targeting","401257926968479","SD VID Paint Brush Contextual CAT ALL","GB",""
"display_targeting","306257002945072","SD VID Cutting Mat Defensive to Mat","ES",""
"display_targeting","387087392458996","SD VID 380 Stretched Canvas Product Target","GB",""
"display_targeting","370173177138978","SD VID Cutting Mat Purchase Remarket","DE",""
"display_targeting","460969678296101","SD VID 280 Stretched Canvas View Remarket CAT ALL","IT",""
"display_targeting","379136524107369","SD VID Cutting Mat View Remarket","US",""
"display_targeting","461787313890338","SD VID Cutting Mat Product Target","GB",""
"display_targeting","327475239309330","SD VID Cutting Mat Defensive to Mat","FR",""
"display_targeting","554274702802606","SD VID Cutting Mat Product Target","",""
"display_targeting","482469844193563","SD VID 280 Stretched Canvas Purchase Remarket","DE",""
"display_targeting","531138853422002","SD VID 280 Stretched Canvas View Remarket","FR",""
"display_targeting","393130485586284","SD VID Cutting Mat View Remarket","FR",""
"display_targeting","453390034818304","SD VID Cutting Mat Purchase Remarket","JP",""
"display_targeting","414936181855729","SD VID Cutting Mat View Remarket","DE",""
"display_targeting","512655137139855","SD VID 280 Stretched Canvas Product Target","FR",""
"display_targeting","411809174945835","SD VID Cutting Mat Defensive to Cutter","GB",""
"display_targeting","532081106896880","SD VID Cutting Mat Product Target","JP",""
"display_targeting","423470719337372","SD VID Cutting Mat Defensive to Cutter","US",""
"display_targeting","299636143341373","SD VID Cutting Mat Defensive to Cutter","ES",""
"display_targeting","477434278580493","SD VID 280 Stretched Canvas Contextual CAT ALL","DE",""
"display_targeting","416476171371203","SD VID Cutting Mat Contextual CAT ALL","IT",""
"display_targeting","316781853720610","SD VID Cutting Mat View Remarket CAT ALL","GB",""
"display_targeting","330039392530761","SD VID 280 Stretched Canvas View Remarket CAT ALL","DE",""
"display_targeting","494032419927260","SD VID 380 Stretched Canvas Contextual CAT ALL","GB",""
"display_targeting","291562447022880","SD VID 280 Stretched Canvas Defensive to 380 Stretched Canvas","FR",""
"display_targeting","516395912423463","SD VID Cutting Mat View Remarket CAT ALL","JP",""
"display_targeting","383592440695176","SD VID 280 Stretched Canvas Product Target","US",""
"display_targeting","334238621812816","SD VID 280 Stretched Canvas Contextual CAT ALL","ES",""
"display_targeting","496116138600124","SD VID Cutting Mat Purchase Remarket","US",""
"display_targeting","550077248184589","SD VID Cutting Mat Defensive to Cutter","DE",""
"display_targeting","353453922165745","SD VID 280 Stretched Canvas Purchase Remarket","GB",""
"display_targeting","404170422370404","SD VID 280 Stretched Canvas View Remarket","GB",""
"display_targeting","487025617761790","SD VID 280 Stretched Canvas View Remarket","DE",""
"display_targeting","300375175837597","SD VID Cutting Mat View Remarket","GB",""
"display_targeting","397421648068558","SD VID Cutting Mat Defensive to Mat","GB",""
